,Unnamed: 0,Season,Name,Transfer Sum,From,FromCountry,FromLanguage,FromLanguageFamily,To,ToCountry,ToLanguage,ToLanguageFamily
241,241,13/14,Kwang-ryong Pak,Leihe,FC Basel,Switzerland,German,Germanic,FC Vaduz,Switzerland,German,Germanic
444,444,16/17,Kevin Bua,"1,50 Mio. €",FC Zürich,Switzerland,German,Germanic,FC Basel,Switzerland,German,Germanic
652,652,17/18,Michael Frey,400 Tsd. €,BSC Young Boys,Switzerland,German,Germanic,FC Zürich,Switzerland,German,Germanic
698,698,15/16,Renato Steffen,"1,20 Mio. €",BSC Young Boys,Switzerland,German,Germanic,FC Basel,Switzerland,German,Germanic
733,733,13/14,Milan Gajic,ablösefrei,FC Zürich,Switzerland,German,Germanic,BSC Young Boys,Switzerland,German,Germanic
747,747,13/14,Alain Nef,200 Tsd. €,BSC Young Boys,Switzerland,German,Germanic,FC Zürich,Switzerland,German,Germanic
764,764,12/13,Raúl Bobadilla,"3,00 Mio. €",BSC Young Boys,Switzerland,German,Germanic,FC Basel,Switzerland,German,Germanic
765,765,12/13,David Degen,600 Tsd. €,BSC Young Boys,Switzerland,German,Germanic,FC Basel,Switzerland,German,Germanic
803,803,11/12,Scott Sutter,Leihe,BSC Young Boys,Switzerland,German,Germanic,FC Zürich,Switzerland,German,Germanic
815,815,20/21,Guillaume Hoarau,ablösefrei,BSC Young Boys,Switzerland,German,Germanic,FC Sion,Switzerland,French,Romance
831,831,20/21,Quentin Maceiras,ablösefrei,FC Sion,Switzerland,French,Romance,BSC Young Boys,Switzerland,German,Germanic
833,833,20/21,Pajtim Kasami,ablösefrei,FC Sion,Switzerland,French,Romance,FC Basel,Switzerland,German,Germanic
919,919,17/18,Burim Kukeli,200 Tsd. €,FC Zürich,Switzerland,German,Germanic,FC Sion,Switzerland,French,Romance
929,929,17/18,Eray Cömert,Leihe,FC Basel,Switzerland,German,Germanic,FC Sion,Switzerland,French,Romance
