FC Prilly,Switzerland
Aargau U21,Switzerland
FC Aarau,Switzerland
FC Cadenazzo,Switzerland
FC Naters,Switzerland
Grasshopper Club Zürich,Switzerland
BSC YB U21,Switzerland
FC Portalban,Switzerland
Yverdon-Sports FC II (U21),Switzerland
GC Biaschesi,Switzerland
SC Kriens,Switzerland
Schwamendingen,Switzerland
Chur 97,Switzerland
SC Cham,Switzerland
Losone,Switzerland
AC Bellinzona,Switzerland
US Giubiasco,Switzerland
Servette U18,Switzerland
FC Breitenrain,Switzerland
FC Littau,Switzerland
GC Zürich U21,Switzerland
FC Basel 1893,Switzerland
FC Monthey,Switzerland
Luzern U21,Switzerland
FC Wohlen U23,Switzerland
FC Grenchen,Switzerland
Xamax FCS U21,Switzerland
Bellinzona Jgd.,Switzerland
Rappi Jugend,Switzerland
FC Basel,Switzerland
Martigny-Sports,Switzerland
FC Winterthur,Switzerland
FC Aarau II,Switzerland
AS Minusio,Switzerland
AS Novazzano,Switzerland
FC Wettswil,Switzerland
FC Sursee,Switzerland
AC Sementina,Switzerland
Etoile Carouge,Switzerland
BSC Young Boys,Switzerland
AC Bellinzona U18,Switzerland
FC Lugano,Switzerland
AC Ravecchia,Switzerland
SC YF Juventus,Switzerland
St. Gallen U21,Switzerland
Olymp. Genève,Switzerland
FC Schötz,Switzerland
Chaux-de-Fonds,Switzerland
FC Porza,Switzerland
FC Wangen b. O.,Switzerland
BSC Old Boys,Switzerland
Lausanne-Sport,Switzerland
ASC Gordola,Switzerland
FC Weesen,Switzerland
FC Sion U21,Switzerland
FC Ebikon,Switzerland
FC Locarno,Switzerland
FC Chiasso,Switzerland
FC Basel U18,Switzerland
FC Kreuzlingen,Switzerland
FC Emmenbrücke,Switzerland
SC Zofingen,Switzerland
St. Gallen U18,Switzerland
Aargau U18,Switzerland
FC Lausanne-Sport,Switzerland
Stade-Lausanne,Switzerland
Grasshoppers,Switzerland
FC Wohlen,Switzerland
FC Vaduz U18,Switzerland
FC Fribourg,Switzerland
Vevey United,Switzerland
US Arbedo,Switzerland
FC Vaduz,Switzerland
FC Tuggen,Switzerland
FC Colombier,Switzerland
FC Gambarogno,Switzerland
FC St. Gallen 1879,Switzerland
Servette U21,Switzerland
Servette U17,Switzerland
FC Lugano U21,Switzerland
Lancy FC,Switzerland
Aargau U16,Switzerland
FC Malcantone,Switzerland
FC Solothurn,Switzerland
FC Thun,Switzerland
BSC YB U18,Switzerland
FC Zürich U21,Switzerland
Team Vaud U18,Switzerland
FC Sion U18,Switzerland
Rapid Lugano,Switzerland
FC Baulmes,Switzerland
FC Mendrisio,Switzerland
Vedeggio,Switzerland
FC Balzers,Switzerland
AC Taverne,Switzerland
FC Luzern,Switzerland
Malcantone Agno,Switzerland
FC Aesch,Switzerland
Stade Nyonnais,Switzerland
FC Sierre,Switzerland
FC Köniz,Switzerland
FC Ascona,Switzerland
FC Zürich,Switzerland
FC Donneloye,Switzerland
FC Alle,Switzerland
GC Zürich U18,Switzerland
FC Dietikon,Switzerland
FC Thalwil,Switzerland
CS Chênois,Switzerland
Yverdon-Sport,Switzerland
FC Baden,Switzerland
FC Linth 04,Switzerland
FC Sion,Switzerland
 AS Castello,Switzerland
FC Biel-Bienne,Switzerland
FC Serrières,Switzerland
SR Delémont,Switzerland
United Zürich,Switzerland
FC Zürich U18,Switzerland
NE Xamax,Switzerland
FCC II,Switzerland
FC Konolfingen,Switzerland
BEJUNE U18,Switzerland
AC Vallemaggia,Switzerland
FC Diessenhofen,Switzerland
Neuchâtel Xamax FCS,Switzerland
Meyrin FC,Switzerland
Xamax,Switzerland
FC Corcelles,Switzerland
FC Aigle,Switzerland
FC St. Gallen,Switzerland
FC Basel U21,Switzerland
FC Bassecourt,Switzerland
Rapperswil-Jona,Switzerland
FC Schaffhausen,Switzerland
Xamax Jugend,Switzerland
Urania Genève,Switzerland
FC Bavois,Switzerland
SC Brühl SG,Switzerland
Team Ticino U18,Switzerland
SC Balerna,Switzerland
Team Vaud U21,Switzerland
Stade-Payerne,Switzerland
FC Muri,Switzerland
FC Black Stars,Switzerland
SC Buochs,Switzerland
FC Dürrenast,Switzerland
Servette FC,Switzerland
Xamax II,Switzerland
Le Locle Sports,Switzerland
Eschen-Mauren,Switzerland
SC Düdingen,Switzerland
SV Höngg,Switzerland
FC Echallens,Switzerland
Luzern U18,Switzerland
FC Wil 1900,Switzerland
Thun U21,Switzerland
FC Münsingen,Switzerland
Team Vaud U16,Switzerland
FC Paradiso,Switzerland
Azzurri LS,Switzerland
