,ID,value
0,Palmeiras,Romance
1,EC Bahia,Romance
2,Benfica,Romance
3,Vit. Guimarães,Romance
4,Palmeiras,Romance
5,Caxias-RS,Romance
6,Santo André-SP,Romance
7,Palmeiras,Romance
8,Belenenses SAD,Romance
9,Benfica U23,Romance
10,Rio Ave FC,Romance
11,Sporting U19,Romance
12,Atlético-GO,Romance
13,Tombense,Romance
14,FC Porto B,Romance
15,Benfica,Romance
16,Benfica,Romance
17,FC Porto,Romance
18,Monte Azul-SP,Romance
19,Villa Nova AC,Romance
20,Yangon Utd.,Romance
21,SC Braga B,Romance
22,Monte Azul-SP,Romance
23,Tubarão-SC,Romance
24,Juventus U19,Romance
25,Udinese Calcio,Romance
26,AS Rom,Romance
27,Inter Mailand,Romance
28,Inter Mailand,Romance
29,Delfino Pescara,Romance
30,Inter U19,Romance
31,FC Chiasso,Romance
32,FC Lugano,Romance
33,FC Lugano,Romance
34,FC Lugano,Romance
35,FC Empoli,Romance
36,Novara Calcio,Romance
37,Lazio Rom,Romance
38,AC Bellinzona,Romance
39,Udinese Calcio,Romance
40,Udinese Calcio,Romance
41,FC Lugano,Romance
42,FC Lugano,Romance
43,FC Lugano,Romance
44,AC Bellinzona,Romance
45,AC Bellinzona,Romance
46,Juventus U23,Romance
47,Chievo Verona,Romance
48,SSC Bari,Romance
49,SSC Bari,Romance
50,Juventus U19,Romance
51,FC Chiasso,Romance
52,FC Chiasso,Romance
53,AC Bellinzona,Romance
54,AC Bellinzona,Romance
55,FC Locarno,Romance
56,FC Locarno,Romance
57,FC Locarno,Romance
58,US Palermo,Romance
59,FC Chiasso,Romance
60,FC Lugano,Romance
61,FC Lugano,Romance
62,AC Bellinzona,Romance
63,AC Bellinzona,Romance
64,AC Bellinzona,Romance
65,AC Bellinzona,Romance
66,Udinese Calcio,Romance
67,FC Chiasso,Romance
68,FC Lugano,Romance
69,AC Bellinzona,Romance
70,AC Bellinzona,Romance
71,AC Bellinzona,Romance
72,FC Turin,Romance
73,Udinese Calcio,Romance
74,Inter Mailand,Romance
75,FC Lugano,Romance
76,FC Lugano,Romance
77,FC Lugano,Romance
78,Novara Calcio,Romance
79,AC Bellinzona,Romance
80,FC Bologna,Romance
81,Udinese Calcio,Romance
82,FC Chiasso,Romance
83,FC Chiasso,Romance
84,FC Lugano,Romance
85,FC Lugano,Romance
86,FC Lugano,Romance
87,FC Lugano,Romance
88,FC Lugano,Romance
89,FC Lugano,Romance
90,AC Bellinzona,Romance
91,FC Locarno,Romance
92,FC Locarno,Romance
93,Juventus Turin,Romance
94,Juventus Turin,Romance
95,Genua CFC,Romance
96,FC Lugano,Romance
97,FC Lugano,Romance
98,FC Lugano,Romance
99,AC Bellinzona,Romance
100,AC Bellinzona,Romance
101,AC Bellinzona,Romance
102,FC Lugano,Romance
103,FC Lugano,Romance
104,FC Lugano,Romance
105,AC Bellinzona,Romance
106,AC Bellinzona,Romance
107,FC Lugano,Romance
108,FC Lugano,Romance
109,FC Lugano,Romance
110,FC Lugano,Romance
111,FC Lugano,Romance
112,FC Lugano,Romance
113,FC Lugano,Romance
114,AC Bellinzona,Romance
115,AC Bellinzona,Romance
116,FC Lugano,Romance
117,FC Lugano,Romance
118,FC Lugano,Romance
119,FC Lugano,Romance
120,FC Lugano,Romance
121,FC Lugano,Romance
122,FC Lugano,Romance
123,AC Bellinzona,Romance
124,FC Lugano,Romance
125,FC Lugano,Romance
126,FC Lugano,Romance
127,FC Lugano,Romance
128,AC Bellinzona,Romance
129,FC Lugano,Romance
130,FC Lugano,Romance
131,AC Bellinzona,Romance
132,AC Bellinzona,Romance
133,AC Bellinzona,Romance
134,KRC Genk ,Romance
135,KRC Genk ,Romance
136,FC Sion,Romance
137,FC Sion,Romance
138,AS Monaco,Romance
139,Xamax,Romance
140,Olympique Lyon,Romance
141,Lausanne-Sport,Romance
142,Lausanne-Sport,Romance
143,AS St.-Étienne,Romance
144,Servette FC,Romance
145,RSC Anderlecht,Romance
146,FC Lausanne-Sport,Romance
147,FC Lausanne-Sport,Romance
148,FC Sion,Romance
149,FC Sion,Romance
150,FC Sion,Romance
151,FC Sion,Romance
152,Lausanne-Sport,Romance
153,Servette FC,Romance
154,Servette FC,Romance
155,AS Tanda,Romance
156,Ol. Marseille,Romance
157,Servette U18,Romance
158,AS Nancy U19,Romance
159,AS Dakar Sacré Coeur,Romance
160,AS Pikine,Romance
161,FC Lausanne-Sport,Romance
162,FC Sion,Romance
163,FC Sion,Romance
164,FC Sion,Romance
165,Xamax,Romance
166,Xamax,Romance
167,Lausanne-Sport,Romance
168,Lausanne-Sport,Romance
169,Lausanne-Sport,Romance
170,Servette FC,Romance
171,Servette FC,Romance
172,TP Mazembe,Romance
173,AJ Auxerre,Romance
174,Etoile Carouge,Romance
175,FC Valenciennes,Romance
176,KAS Eupen,Romance
177,RC Lens,Romance
178,FC Sion,Romance
179,FC Sion,Romance
180,Xamax,Romance
181,Lausanne-Sport,Romance
182,Yverdon-Sport,Romance
183,Stade Nyonnais,Romance
184,FC Lausanne-Sport,Romance
185,Neuweg,Romance
186,FC Sion,Romance
187,Xamax,Romance
188,Xamax,Romance
189,Xamax,Romance
190,Olympique Lyon,Romance
191,Lausanne-Sport,Romance
192,Servette FC,Romance
193,Servette FC,Romance
194,Servette FC,Romance
195,Amiens SC,Romance
196,Amiens SC,Romance
197,Stade Rennes,Romance
198,TP Mazembe,Romance
199,TP Mazembe,Romance
200,TP Mazembe,Romance
201,SCO Angers,Romance
202,LOSC Lille,Romance
203,G. Bordeaux,Romance
204,AC Ajaccio,Romance
205,FC Lausanne-Sport,Romance
206,FC Sion,Romance
207,FC Sion,Romance
208,FC Sion,Romance
209,Xamax,Romance
210,Xamax,Romance
211,Lausanne-Sport,Romance
212,Lausanne-Sport,Romance
213,Servette FC,Romance
214,ES Sahel,Romance
215,Yverdon-Sport,Romance
216,FC Lausanne-Sport,Romance
217,FC Lausanne-Sport,Romance
218,FC Sion,Romance
219,Xamax,Romance
220,Xamax,Romance
221,Lausanne-Sport,Romance
222,Lausanne-Sport,Romance
223,Lausanne-Sport,Romance
224,Servette FC,Romance
225,LOSC Lille,Romance
226,FC Sochaux,Romance
227,FC Sochaux,Romance
228,Le Mont LS,Romance
229,Le Mont LS,Romance
230,Le Mont LS,Romance
231,AJ Auxerre,Romance
232,Zulte Waregem,Romance
233,AJ Auxerre B,Romance
234,FC Fribourg,Romance
235,ASEC Mimosas,Romance
236,FC Lausanne-Sport,Romance
237,FC Lausanne-Sport,Romance
238,FC Lausanne-Sport,Romance
239,FC Sion,Romance
240,FC Sion,Romance
241,FC Sion,Romance
242,AS Monaco,Romance
243,Xamax,Romance
244,Lausanne-Sport,Romance
245,Lausanne-Sport,Romance
246,Lausanne-Sport,Romance
247,Lausanne-Sport,Romance
248,Servette FC,Romance
249,Servette FC,Romance
250,Servette FC,Romance
251,FC Sochaux,Romance
252,FC Nantes,Romance
253,Club Africain,Romance
254,ASEC Mimosas,Romance
255,Paris FC,Romance
256,FC Lausanne-Sport,Romance
257,FC Lausanne-Sport,Romance
258,FC Lausanne-Sport,Romance
259,FC Lausanne-Sport,Romance
260,FC Sion,Romance
261,FC Sion,Romance
262,FC Sion,Romance
263,FC Sion,Romance
264,FC Sion,Romance
265,FC Sion,Romance
266,Xamax,Romance
267,Servette FC,Romance
268,FC Sion U21,Romance
269,FC Sion U21,Romance
270,Yverdon-Sport,Romance
271,FC Valenciennes,Romance
272,RC Lens,Romance
273,UR La Louvière,Romance
274,Montpellier,Romance
275,FC Sion,Romance
276,FC Sion,Romance
277,FC Sion,Romance
278,Xamax,Romance
279,Xamax,Romance
280,Servette FC,Romance
281,Servette FC,Romance
282,FC Lausanne-Sport,Romance
283,FC Lausanne-Sport,Romance
284,FC Lausanne-Sport,Romance
285,FC Sion,Romance
286,Xamax,Romance
287,Servette FC,Romance
288,FC Lausanne-Sport,Romance
289,FC Sion,Romance
290,FC Lausanne-Sport,Romance
291,FC Sion,Romance
292,FC Lausanne-Sport,Romance
293,FC Sion,Romance
294,FC Sion,Romance
295,Xamax,Romance
296,Xamax,Romance
297,Servette FC,Romance
298,Servette FC,Romance
299,Servette FC,Romance
300,Servette FC,Romance
301,FC Lausanne-Sport,Romance
302,FC Lausanne-Sport,Romance
303,FC Lausanne-Sport,Romance
304,FC Sion,Romance
305,FC Sion,Romance
306,Xamax,Romance
307,Servette FC,Romance
308,FC Lausanne-Sport,Romance
309,FC Lausanne-Sport,Romance
310,FC Lausanne-Sport,Romance
311,FC Lausanne-Sport,Romance
312,FC Sion,Romance
313,FC Sion,Romance
314,FC Sion,Romance
315,Xamax,Romance
316,Xamax,Romance
317,Xamax,Romance
318,Servette FC,Romance
319,FC Lausanne-Sport,Romance
320,FC Sion,Romance
321,FC Sion,Romance
322,FC Sion,Romance
323,Servette FC,Romance
324,FC Lausanne-Sport,Romance
