Country_to;Capital_to;Latitude_to;Longitude_to;Season;Name;Transfer Sum;From;FromCountry;FromLanguage;FromLanguageFamily;To;ToCountry;ToLanguage;ToLanguageFamily;Country_from;Capital_from;Latitude_from;Longitude_from
Switzerland;Bern;46.947974;7.447447;Zugänge 20/21;Arthur Cabral;4,40 Mio. €;Palmeiras;Brazil;Portuguese;Romance;FC Basel 1893;Switzerland;German;Germanic;Brazil;Brasília;-15.794229;-47.882166
Switzerland;Bern;46.947974;7.447447;Zugänge 20/21;Kaly Sene;4,00 Mio. €;Juventus U19;Italy;Italian;Romance;FC Basel 1893;Switzerland;German;Germanic;Italy;Rome;41.902784;12.496366
Switzerland;Bern;46.947974;7.447447;Zugänge 20/21;Edon Zhegrova;3,00 Mio. €;KRC Genk;Belgium;French;Romance;FC Basel 1893;Switzerland;German;Germanic;Belgium;Brussels;50.85034;4.35171
Switzerland;Bern;46.947974;7.447447;Zugänge 20/21;Andrea Padula;450 Tsd. €;FC Wil 1900;Switzerland;German;Germanic;FC Basel 1893;Switzerland;German;Germanic;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 20/21;Heinz Lindner;ablösefrei;Wehen Wiesbaden;Germany;German;Germanic;FC Basel 1893;Switzerland;German;Germanic;Germany;Berlin;52.520007;13.404954
Switzerland;Bern;46.947974;7.447447;Zugänge 20/21;Pajtim Kasami;ablösefrei;FC Sion;Switzerland;French;Romance;FC Basel 1893;Switzerland;German;Germanic;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 20/21;Jorge;Leihe;AS Monaco;France;French;Romance;FC Basel 1893;Switzerland;German;Germanic;France;Paris;48.856614;2.352222
Switzerland;Bern;46.947974;7.447447;Zugänge 20/21;Timm Klose;Leihe;Norwich City;England;English;Germanic;FC Basel 1893;Switzerland;German;Germanic;;;;
Switzerland;Bern;46.947974;7.447447;Zugänge 20/21;Felix Gebhardt;-;FC Basel U18;Switzerland;German;Germanic;FC Basel 1893;Switzerland;German;Germanic;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 20/21;Lirik Vishi;-;FC Basel U21;Switzerland;German;Germanic;FC Basel 1893;Switzerland;German;Germanic;Switzerland;Bern;46.947974;7.447447
