ID;value
Palmeiras;Romance
FC Basel;Germanic
EC Bahia;Romance
Benfica;Romance
Vit. Guimarães;Romance
FC Zürich;Germanic
Caxias-RS;Romance
Santo André-SP;Romance
Grasshopper Club Zürich;Germanic
Belenenses SAD;Romance
Benfica U23;Romance
Rio Ave FC;Romance
Sporting U19;Romance
Atlético-GO;Romance
Tombense;Romance
FC Porto B;Romance
FC Vaduz;Germanic
BSC Young Boys;Germanic
FC Porto;Romance
Monte Azul-SP;Romance
FC Thun;Germanic
Villa Nova AC;Romance
Yangon Utd.;Romance
SC Braga B;Romance
FC St. Gallen;Germanic
FC Aarau;Germanic
Tubarão-SC;Romance
Juventus U19;Romance
Udinese Calcio;Romance
AS Rom;Romance
Inter Mailand;Romance
Delfino Pescara;Romance
Inter U19;Romance
FC Chiasso;Romance
FC Lugano;Romance
FC Empoli;Romance
Novara Calcio;Romance
Lazio Rom;Romance
AC Bellinzona;Romance
Juventus U23;Romance
Chievo Verona;Romance
SSC Bari;Romance
FC Locarno;Romance
US Palermo;Romance
FC Luzern;Germanic
FC Turin;Romance
FC Bologna;Romance
Juventus Turin;Romance
Genua CFC;Romance
Grasshoppers;Germanic
SC Kriens;Germanic
Rapperswil-Jona;Germanic
FC Winterthur;Germanic
FC Wil 1900;Germanic
FC Köniz;Germanic
FC Wohlen;Germanic
FC Schaffhausen;Germanic
FC Dietikon;
FC Münsingen;Germanic
United Zürich;Germanic
SC Brühl SG;Germanic
FC Tuggen;Germanic
BSC YB U21;Germanic
SC Buochs;
Schwamendingen;Germanic
FC Littau;
KRC Genk ;Romance
FC Sion;Romance
AS Monaco;Romance
Xamax;Romance
Olympique Lyon;Romance
Lausanne-Sport;Romance
AS St.-Étienne;Romance
Servette FC;Romance
RSC Anderlecht;Romance
FC Lausanne-Sport;Romance
AS Tanda;Romance
Ol. Marseille;Romance
Servette U18;Romance
AS Nancy U19;Romance
AS Dakar Sacré Coeur;Romance
AS Pikine;Romance
TP Mazembe;Romance
AJ Auxerre;Romance
Etoile Carouge;Romance
FC Valenciennes;Romance
KAS Eupen;Romance
RC Lens;Romance
Yverdon-Sport;Romance
Stade Nyonnais;Romance
Neuweg;Romance
Amiens SC;Romance
Stade Rennes;Romance
SCO Angers;Romance
LOSC Lille;Romance
G. Bordeaux;Romance
AC Ajaccio;Romance
ES Sahel;Romance
FC Sochaux;Romance
Le Mont LS;Romance
Zulte Waregem;Romance
AJ Auxerre B;Romance
FC Fribourg;Romance
ASEC Mimosas;Romance
FC Nantes;Romance
Club Africain;Romance
Paris FC;Romance
FC Sion U21;Romance
UR La Louvière;Romance
Montpellier;Romance
RB Leipzig;Germanic
VfB Stuttgart;Germanic
SC Freiburg;Germanic
FC Biel-Bienne;Germanic
Berliner AK;
VfL Wolfsburg;Germanic
FC Solothurn;Germanic
FC Sursee;Germanic
SC Düdingen;
FC Black Stars;Germanic
FCC II;
MSV Duisburg;Germanic
FC Zürich U21;Germanic
Wehen Wiesbaden;Germanic
VfB Auerbach;
E. Braunschweig;Germanic
SKN St. Pölten;
USC Paloma;
Huracán;Romance
River Plate;Romance
Olimpia;Romance
U. de Chile;Romance
Boca Juniors;Romance
CA Unión;Romance
UD Logroñés;Romance
Metropolitano;Romance
RCD Mallorca;Romance
Caracas FC;Romance
FC Valencia;Romance
Gimnàstic;Romance
Rimyongsu SC;Romance
FC Granada;Romance
Independiente;Romance
FC Sevilla;Romance
FC Málaga;Romance
Dep. Alavés;Romance
Formentera;Romance
Puerto Rico FC;Romance
CF Pachuca;Romance
Argentinos II;Romance
FC Getafe B;Romance
Sheriff;Romance
FC Basel U18;Germanic
FC Basel U21;Germanic
RB Salzburg;Germanic
GC Zürich U18;Germanic
FC Ingolstadt;Germanic
SC YF Juventus;Germanic
1.FSV Mainz 05;Germanic
Hertha BSC;Germanic
Arm. Bielefeld;Germanic
1.FC Köln;Germanic
Hamburger SV;Germanic
Wolfsburg II;Germanic
FC Augsburg;Germanic
FC Zürich U18;Germanic
A. Lustenau;Germanic
FC Schalke 04;Germanic
FC Grenchen;Germanic
Austria Wien;Germanic
GC Zürich U21;Germanic
E. Frankfurt;Germanic
SCR Altach;Germanic
Sturm Graz;Germanic
St. Gallen U21;Germanic
SC Freiburg II;Germanic
Wolfsberger AC;Germanic
SV Ried;Germanic
WSG Tirol;Germanic
FC Balzers;Germanic
Vaduz II;Germanic
FC Thalwil;Germanic
FC Vaduz U18;Germanic
Sonnenhof-Gr.;Germanic
B. München II;Germanic
Eschen-Mauren;Germanic
Austria Wien II;Germanic
Werder Bremen;Germanic
Bor. M'gladbach;Germanic
Hannover 96;Germanic
BSC YB U18;Germanic
Thun U21;Germanic
FC Breitenrain;Germanic
TSG Hoffenheim;Germanic
Luzern U21;Germanic
Luzern U18;Germanic
FC St. Pauli;Germanic
B. Dortmund U19;Germanic
Bor. Dortmund;Germanic
VfR Aalen;Germanic
Rapid Wien;Germanic
St. Gallen U18;Germanic
F. Düsseldorf;Germanic
1860 München;Germanic
1.FC Köln II;Germanic
Bayern München;Germanic
1.FC K'lautern;Germanic
FC Baden;Germanic
Aargau U18;Germanic
FC Wohlen U23;Germanic
Karlsruher SC;Germanic
Aargau U16;Germanic
Aargau U21;Germanic
FC Aarau II;Germanic
FC Wettswil;Germanic
M'gladbach II;Germanic
Greuther Fürth;Germanic
FC Schötz;Germanic
FC Wangen b. O.;Germanic
FC Wacker;
FC Aesch;
FC Muri;
FC Diessenhofen;
FC Linth 04;
SC Cham;
Hansa Rostock;
Stuttg. Kickers;
BSC Old Boys;
SC Zofingen;
FSV Frankfurt;
Erzgebirge Aue;
FC Ebikon;
SC Paderborn;
Würzb. Kickers;
FC Naters;
FC Dürrenast;
1.FC Nürnberg;
FC Weesen;
TSV Hartberg;
Preußen Münster;
SV Höngg;
FSV Bissingen;
Admira Wacker;
Carl Zeiss Jena;
Holstein Kiel;
KFC Uerdingen;
VfL Osnabrück;
SV Darmstadt 98;
Hallescher FC;
Dynamo Dresden;
Hamburger SV II;
Union Berlin;
FC Kreuzlingen;
Chur 97;
FC Emmenbrücke;
FC Dornbirn;
Schweinfurt 05;
SC Ritzing;
FC Konolfingen;
SV Kapfenberg;
MSV Duisburg II;
Norwich City;Germanic
Los Angeles FC;Germanic
Sydney FC;Germanic
West Ham Utd.;Germanic
Toronto FC II;Germanic
MFM FC;Germanic
FC Montréal;Germanic
Orlando City SC;Germanic
Chelsea U23;Germanic
Vancouver;Germanic
Stoke U23;Germanic
Wolverhampton;Germanic
Wolves U23;Germanic
FC Heartland;Germanic
FC Everton;Germanic
Aston Villa;Germanic
Arsenal U21;Germanic
Ross County;Germanic
Wigan Athletic;Germanic
FC Reading;Germanic
Dundee FC;Germanic
Newcastle Utd.;Germanic
D.C. United;Germanic
FC Cincinnati;Germanic
Kansas City;Germanic
FC Fulham;Germanic
FC Liverpool;Germanic
Central Coast;Germanic
Hibernian FC;Germanic
Philadelphia;Germanic
Quakes;Germanic
FC Utrecht;Germanic
Vitesse Arnheim;Germanic
Feyenoord;Germanic
FC Groningen;Germanic
Ajax Amsterdam;Germanic
Twente Enschede;Germanic
Willem II;Germanic
Roda JC;Germanic
NEC Nijmegen;Germanic
AZ Alkmaar;Germanic
FC Dordrecht;Germanic
Molde;Germanic
Vålerenga;Germanic
Strømsgodset;Germanic
Odense BK;Germanic
Esbjerg fB;Germanic
Vestsjaelland;Germanic
IFK Norrköping;Germanic
Kalmar FF;Germanic
Umeå FC;Germanic
GIF Sundsvall;Germanic
Halmstad;Germanic
PAOK Saloniki;Hellenic
Panathinaikos;Hellenic
Omonia Nikosia;Hellenic
Ethnikos;Hellenic
Dynamo Kiew;Slavic
Jagodina;Slavic
Partizan;Slavic
Roter Stern;Slavic
BSK Borca;Slavic
OFK Belgrad;Slavic
Sloboda Uzice;Slavic
NK Olimpija;Slavic
ND Gorica;Slavic
Spartak Moskau;Slavic
FK Orenburg;Slavic
Dinamo Minsk;Slavic
Zenit S-Pb;Slavic
Zenit II;Slavic
FK Ufa;Slavic
Rubin Kazan;Slavic
ZSKA Moskau;Slavic
FK Rostov;Slavic
BATE Borisov;Slavic
Spartaks;Slavic
Ural;Slavic
Sparta Prag;Slavic
Viktoria Pilsen;Slavic
Lech Posen;Slavic
Legia Warschau;Slavic
Ruch Chorzow;Slavic
Lechia Gdansk;Slavic
Wisla Krakau;Slavic
Travnik;Slavic
Rudar Prijedor;Slavic
Sloboda Tuzla;Slavic
Ruzomberok;Slavic
Spartak Trnava;Slavic
Ludogorets;Slavic
Septemvri Sofia;Slavic
HNK Rijeka;Slavic
NK Zadar ;Slavic
Hajduk Split;Slavic
Cibalia;Slavic
Rabotn. Skopje;Slavic
Vereinslos;Vereinslos
Zamalek;Semitic
Smouha;Semitic
El Mokawloon;Semitic
Al-Jazira;Semitic
Dubai CSC;Semitic
Enppi SC;Semitic
Al-Shorta SC;Semitic
Wadi Degla ;Semitic
B. Jerusalem;Semitic
M. Tel Aviv;Semitic
Hapoel Raanana;Semitic
H. Beer Sheva;Semitic
FC Ashdod;Semitic
H. Kfar Saba;Semitic
Cerezo Osaka;Japonic
Júbilo Iwata;Japonic
Tochigi SC;Japonic
Kyoto Sanga;Japonic
FK Ventspils;Baltic
Skonto;Baltic
Dinamo Tiflis;South Caucasian
Osmanlispor;Turkic
Gaziantepspor;Turkic
Manisaspor;Turkic
Y. Malatyaspor;Turkic
Inter Baku;Turkic
JS Suning;Sinitic
BJ Guoan;Sinitic
Renhe Reserve;Sinitic
Pune City;Indo-Iranian
Esteghlal FC ;Indo-Iranian
pausiert;pausiert
Karriereende;Karriereende
HJK Helsinki;Finnic
Ferencváros;Ugric
WAFA SC;0
KF Tirana;Albanian
FC Besa;Albanian
Sporting;Romance
Acad. Coimbra;Romance
Estoril Praia;Romance
Leixões;Romance
Fluminense U20;Romance
Goiás EC;Romance
Fluminense;Romance
Boavista Porto;Romance
Fortaleza EC B;Romance
Vila Nova FC;Romance
FC Santos;Romance
Flamengo;Romance
Coritiba FC U20;Romance
Kabuscorp SC;Romance
Arapongas;Romance
Athletico-PR;Romance
AS Livorno;Romance
Azzurri LS;Romance
Chieti;Romance
Sampdoria;Romance
Neapel U19;Romance
AC Florenz;Romance
FC Crotone;Romance
Calcio Padova;Romance
Sambenedettese;Romance
Parma;Romance
Ternana;Romance
AC Mailand;Romance
AC Mailand U19;Romance
BEJUNE U18;Romance
FC Bavois;Romance
Stade Gabèsien;
Nîmes Olympique;Romance
Olymp. Lyon B;Romance
Servette U21;Romance
Saint-Étienne B;Romance
Stade Reims;Romance
Olymp. Lyon U19;Romance
US Boulogne;Romance
Stade Brest 29;Romance
Meyrin FC;Romance
Athletic Adjamé;Romance
Etoile Filante;Romance
Servette U17;Romance
La Vitréenne FC;Romance
