,Season,Name,Transfer Sum,From,FromCountry,FromLanguage,FromLanguageFamily,To,ToCountry,ToLanguage,ToLanguageFamily
0,Zugänge 20/21,Arthur Cabral,"4,40 Mio. €",Palmeiras,Brazil,Portuguese,Romance,FC Basel 1893,Switzerland,German,Germanic
1,Zugänge 20/21,Kaly Sene,"4,00 Mio. €",Juventus U19,Italy,Italian,Romance,FC Basel 1893,Switzerland,German,Germanic
2,Zugänge 20/21,Edon Zhegrova,"3,00 Mio. €",KRC Genk ,Belgium,French,Romance,FC Basel 1893,Switzerland,German,Germanic
3,Zugänge 20/21,Andrea Padula,450 Tsd. €,FC Wil 1900,Switzerland,German,Germanic,FC Basel 1893,Switzerland,German,Germanic
4,Zugänge 20/21,Heinz Lindner,ablösefrei,Wehen Wiesbaden,Germany,German,Germanic,FC Basel 1893,Switzerland,German,Germanic
5,Zugänge 20/21,Pajtim Kasami,ablösefrei,FC Sion,Switzerland,French,Romance,FC Basel 1893,Switzerland,German,Germanic
6,Zugänge 20/21,Jorge,Leihe,AS Monaco,France,French,Romance,FC Basel 1893,Switzerland,German,Germanic
7,Zugänge 20/21,Timm Klose,Leihe,Norwich City,England,English,Germanic,FC Basel 1893,Switzerland,German,Germanic
8,Zugänge 20/21,Felix Gebhardt,-,FC Basel U18,Switzerland,German,Germanic,FC Basel 1893,Switzerland,German,Germanic
9,Zugänge 20/21,Lirik Vishi,-,FC Basel U21,Switzerland,German,Germanic,FC Basel 1893,Switzerland,German,Germanic
10,Zugänge 20/21,Liam Chipperfield,-,FC Basel U18,Switzerland,German,Germanic,FC Basel 1893,Switzerland,German,Germanic
11,Abgänge 20/21,Omar Alderete,"6,50 Mio. €",FC Basel 1893,Switzerland,German,Germanic,Hertha BSC,Germany,German,Germanic
12,Abgänge 20/21,Jonas Omlin,"6,00 Mio. €",FC Basel 1893,Switzerland,German,Germanic,Montpellier,France,French,Romance
13,Abgänge 20/21,Blas Riveros,67 Tsd. €,FC Basel 1893,Switzerland,German,Germanic,Bröndby IF,Denmark,Danish,Germanic
14,Abgänge 20/21,Kevin Bua,ablösefrei,FC Basel 1893,Switzerland,German,Germanic,CD Leganés,Spain,Spanish,Romance
15,Abgänge 20/21,Kaly Sene,Leihe,FC Basel 1893,Switzerland,German,Germanic,Omonia Nikosia,Cyprus,Greek,Hellenic
16,Abgänge 20/21,Yves Kaiser,?,FC Basel 1893,Switzerland,German,Germanic,NE Xamax,Switzerland,French,Romance
17,Abgänge 20/21,Kemal Ademi,?,FC Basel 1893,Switzerland,German,Germanic,Fenerbahce,Turkey,Turkish,Turkic
18,Abgänge 20/21,Dimitri Oberlin,-,FC Basel 1893,Switzerland,German,Germanic,Vereinslos,Vereinslos,Vereinslos,Vereinslos
19,Abgänge 20/21,Zdravko Kuzmanovic,-,FC Basel 1893,Switzerland,German,Germanic,Vereinslos,Vereinslos,Vereinslos,Vereinslos
20,Abgänge 20/21,Dominik Schmid,-,FC Basel 1893,Switzerland,German,Germanic,Vereinslos,Vereinslos,Vereinslos,Vereinslos
21,Abgänge 20/21,Martin Liechti,-,FC Basel 1893,Switzerland,German,Germanic,Vereinslos,Vereinslos,Vereinslos,Vereinslos
22,Zugänge 19/20,Omar Alderete,"1,00 Mio. €",Huracán,Columbia,Spanish,Romance,FC Basel 1893,Switzerland,German,Germanic
23,Zugänge 19/20,Kemal Ademi,ablösefrei,NE Xamax,Switzerland,French,Romance,FC Basel 1893,Switzerland,German,Germanic
24,Zugänge 19/20,Jasper van der Werff,Leihe,RB Salzburg,Austria,German,Germanic,FC Basel 1893,Switzerland,German,Germanic
25,Zugänge 19/20,Emil Bergström,Leihe,FC Utrecht,Netherlands,Dutch,Germanic,FC Basel 1893,Switzerland,German,Germanic
26,Zugänge 19/20,Ramires,Leihe,EC Bahia,Brazil,Portuguese,Romance,FC Basel 1893,Switzerland,German,Germanic
27,Zugänge 19/20,Orges Bunjaku,-,FC Basel U21,Switzerland,German,Germanic,FC Basel 1893,Switzerland,German,Germanic
28,Zugänge 19/20,Mihailo Stevanovic,-,FC Basel U18,Switzerland,German,Germanic,FC Basel 1893,Switzerland,German,Germanic
29,Zugänge 19/20,Gezim Pepsi,Leih-Ende,FC Aarau,Switzerland,German,Germanic,FC Basel 1893,Switzerland,German,Germanic
30,Zugänge 19/20,Jozef Pukaj,-,FC Basel U21,Switzerland,German,Germanic,FC Basel 1893,Switzerland,German,Germanic
31,Zugänge 19/20,Tician Tushi,-,FC Basel U21,Switzerland,German,Germanic,FC Basel 1893,Switzerland,German,Germanic
32,Zugänge 19/20,Julian Von Moos,Leih-Ende,FC Wil 1900,Switzerland,German,Germanic,FC Basel 1893,Switzerland,German,Germanic
33,Abgänge 19/20,Noah Okafor,"11,20 Mio. €",FC Basel 1893,Switzerland,German,Germanic,RB Salzburg,Austria,German,Germanic
34,Abgänge 19/20,Albian Ajeti,"8,70 Mio. €",FC Basel 1893,Switzerland,German,Germanic,West Ham Utd.,England,English,Germanic
35,Abgänge 19/20,Éder Balanta,"2,40 Mio. €",FC Basel 1893,Switzerland,German,Germanic,FC Brügge,Belgium,French,Romance
36,Abgänge 19/20,Martin Hansen,ablösefrei,FC Basel 1893,Switzerland,German,Germanic,Strømsgodset,Norway,Norwegian,Germanic
37,Abgänge 19/20,Marek Suchy,ablösefrei,FC Basel 1893,Switzerland,German,Germanic,FC Augsburg,Germany,German,Germanic
38,Abgänge 19/20,Robin Huser,ablösefrei,FC Basel 1893,Switzerland,German,Germanic,FC Chiasso,Switzerland,Italian,Romance
39,Abgänge 19/20,Martin Liechti,Leihe,FC Basel 1893,Switzerland,German,Germanic,FC Winterthur,Switzerland,German,Germanic
40,Abgänge 19/20,Pedro Pacheco,?,FC Basel 1893,Switzerland,German,Germanic,Amarante,Portugal,Portuguese,Romance
41,Abgänge 19/20,Aldo Kalulu,Leihe,FC Basel 1893,Switzerland,German,Germanic,Swansea City,England,English,Germanic
42,Abgänge 19/20,Yves Kaiser,Leihe,FC Basel 1893,Switzerland,German,Germanic,FC Schaffhausen,Switzerland,German,Germanic
43,Abgänge 19/20,Dimitri Oberlin,Leihe,FC Basel 1893,Switzerland,German,Germanic,Zulte Waregem,Belgium,French,Romance
44,Abgänge 19/20,Neftali Manzambi,?,FC Basel 1893,Switzerland,German,Germanic,Sporting Gijón,Spain,Spanish,Romance
45,Abgänge 19/20,Gezim Pepsi,?,FC Basel 1893,Switzerland,German,Germanic,FC Winterthur,Switzerland,German,Germanic
46,Abgänge 19/20,Julian Von Moos,Leihe,FC Basel 1893,Switzerland,German,Germanic,FC Wil 1900,Switzerland,German,Germanic
47,Abgänge 19/20,Konstantinos Dimitriou,Leihe,FC Basel 1893,Switzerland,German,Germanic,FC Wil 1900,Switzerland,German,Germanic
48,Abgänge 19/20,Signori Antonio,-,FC Basel 1893,Switzerland,German,Germanic,Vereinslos,Vereinslos,Vereinslos,Vereinslos
49,Abgänge 19/20,Geoffroy Serey Dié,-,FC Basel 1893,Switzerland,German,Germanic,Vereinslos,Vereinslos,Vereinslos,Vereinslos
50,Abgänge 19/20,Ramires,Leih-Ende,FC Basel 1893,Switzerland,German,Germanic,EC Bahia,Brazil,Portuguese,Romance
51,Zugänge 18/19,Silvan Widmer,"4,50 Mio. €",Udinese Calcio,Italy,Italian,Romance,FC Basel 1893,Switzerland,German,Germanic
52,Zugänge 18/19,Dimitri Oberlin,"4,10 Mio. €",RB Salzburg,Austria,German,Germanic,FC Basel 1893,Switzerland,German,Germanic
53,Zugänge 18/19,Aldo Kalulu,"2,10 Mio. €",Olympique Lyon,France,French,Romance,FC Basel 1893,Switzerland,German,Germanic
54,Zugänge 18/19,Jonas Omlin,"2,00 Mio. €",FC Luzern,Switzerland,German,Germanic,FC Basel 1893,Switzerland,German,Germanic
55,Zugänge 18/19,Julian Von Moos,"1,30 Mio. €",GC Zürich U18,Switzerland,German,Germanic,FC Basel 1893,Switzerland,German,Germanic
56,Zugänge 18/19,Martin Hansen,250 Tsd. €,FC Ingolstadt,Germany,German,Germanic,FC Basel 1893,Switzerland,German,Germanic
57,Zugänge 18/19,Edon Zhegrova,Leihe,KRC Genk ,Belgium,French,Romance,FC Basel 1893,Switzerland,German,Germanic
58,Zugänge 18/19,Konstantinos Dimitriou,ablösefrei,PAOK Saloniki,Greece,Greek,Hellenic,FC Basel 1893,Switzerland,German,Germanic
59,Zugänge 18/19,Carlos Zambrano,Leihe,Dynamo Kiew,Ukraine,Ukrainian,Slavic,FC Basel 1893,Switzerland,German,Germanic
60,Zugänge 18/19,Gezim Pepsi,-,FC Basel U21,Switzerland,German,Germanic,FC Basel 1893,Switzerland,German,Germanic
61,Zugänge 18/19,Martin Liechti,-,FC Basel U21,Switzerland,German,Germanic,FC Basel 1893,Switzerland,German,Germanic
62,Zugänge 18/19,Omar Gaber,Leih-Ende,Los Angeles FC,United States,English,Germanic,FC Basel 1893,Switzerland,German,Germanic
63,Zugänge 18/19,Pedro Pacheco,Leih-Ende,SC YF Juventus,Switzerland,German,Germanic,FC Basel 1893,Switzerland,German,Germanic
64,Zugänge 18/19,Robin Huser,-,FC Basel U21,Switzerland,German,Germanic,FC Basel 1893,Switzerland,German,Germanic
65,Zugänge 18/19,Djordje Nikolic,Leih-Ende,FC Thun,Switzerland,German,Germanic,FC Basel 1893,Switzerland,German,Germanic
66,Zugänge 18/19,Pedro Pacheco,Leih-Ende,Rapperswil-Jona,Switzerland,German,Germanic,FC Basel 1893,Switzerland,German,Germanic
67,Zugänge 18/19,Dominik Schmid,Leih-Ende,Lausanne-Sport,Switzerland,French,Romance,FC Basel 1893,Switzerland,German,Germanic
68,Abgänge 18/19,Mohamed Elyounoussi,"18,00 Mio. €",FC Basel 1893,Switzerland,German,Germanic,FC Southampton,England,English,Germanic
69,Abgänge 18/19,Tomas Vaclík,"6,00 Mio. €",FC Basel 1893,Switzerland,German,Germanic,FC Sevilla,Spain,Spanish,Romance
70,Abgänge 18/19,Michael Lang,"2,80 Mio. €",FC Basel 1893,Switzerland,German,Germanic,Bor. M'gladbach,Germany,German,Germanic
71,Abgänge 18/19,Alexander Fransson,"1,00 Mio. €",FC Basel 1893,Switzerland,German,Germanic,IFK Norrköping,Sweden,Swedish,Germanic
72,Abgänge 18/19,Cedric Itten,430 Tsd. €,FC Basel 1893,Switzerland,German,Germanic,FC St. Gallen,Switzerland,German,Germanic
73,Abgänge 18/19,Omar Gaber,300 Tsd. €,FC Basel 1893,Switzerland,German,Germanic,Los Angeles FC,United States,English,Germanic
74,Abgänge 18/19,Davide Callà,ablösefrei,FC Basel 1893,Switzerland,German,Germanic,FC Winterthur,Switzerland,German,Germanic
75,Abgänge 18/19,Mirko Salvi,ablösefrei,FC Basel 1893,Switzerland,German,Germanic,Grasshoppers,Switzerland,German,Germanic
76,Abgänge 18/19,Pedro Pacheco,Leihe,FC Basel 1893,Switzerland,German,Germanic,SC YF Juventus,Switzerland,German,Germanic
77,Abgänge 18/19,Djordje Nikolic,Leihe,FC Basel 1893,Switzerland,German,Germanic,FC Aarau,Switzerland,German,Germanic
78,Abgänge 18/19,Neftali Manzambi,Leihe,FC Basel 1893,Switzerland,German,Germanic,Sporting Gijón,Spain,Spanish,Romance
79,Abgänge 18/19,Dereck Kutesa,?,FC Basel 1893,Switzerland,German,Germanic,FC St. Gallen,Switzerland,German,Germanic
80,Abgänge 18/19,Gezim Pepsi,Leihe,FC Basel 1893,Switzerland,German,Germanic,FC Aarau,Switzerland,German,Germanic
81,Abgänge 18/19,Dimitri Oberlin,Leihe,FC Basel 1893,Switzerland,German,Germanic,FC Empoli,Italy,Italian,Romance
82,Abgänge 18/19,Afimico Pululu,Leihe,FC Basel 1893,Switzerland,German,Germanic,NE Xamax,Switzerland,French,Romance
83,Abgänge 18/19,Geoffroy Serey Dié,Leihe,FC Basel 1893,Switzerland,German,Germanic,NE Xamax,Switzerland,French,Romance
84,Abgänge 18/19,Germano Vailati,-,FC Basel 1893,Switzerland,German,Germanic,Karriereende,Karriereende,Karriereende,Karriereende
85,Abgänge 18/19,Martin Liechti,Leihe,FC Basel 1893,Switzerland,German,Germanic,FC Aarau,Switzerland,German,Germanic
86,Abgänge 18/19,Dominik Schmid,Leihe,FC Basel 1893,Switzerland,German,Germanic,FC Wil 1900,Switzerland,German,Germanic
87,Zugänge 17/18,Ricky van Wolfswinkel,"3,50 Mio. €",Vitesse Arnheim,Netherlands,Dutch,Germanic,FC Basel 1893,Switzerland,German,Germanic
88,Zugänge 17/18,Fabian Frei,"1,50 Mio. €",1.FSV Mainz 05,Germany,German,Germanic,FC Basel 1893,Switzerland,German,Germanic
89,Zugänge 17/18,Albian Ajeti,"1,39 Mio. €",FC St. Gallen,Switzerland,German,Germanic,FC Basel 1893,Switzerland,German,Germanic
90,Zugänge 17/18,Dimitri Oberlin,,RB Salzburg,Austria,German,Germanic,FC Basel 1893,Switzerland,German,Germanic
91,Zugänge 17/18,Valentin Stocker,ablösefrei,Hertha BSC,Germany,German,Germanic,FC Basel 1893,Switzerland,German,Germanic
92,Zugänge 17/18,Samuele Campo,?,Lausanne-Sport,Switzerland,French,Romance,FC Basel 1893,Switzerland,German,Germanic
93,Zugänge 17/18,Léo Lacroix,Leihe,AS St.-Étienne,France,French,Romance,FC Basel 1893,Switzerland,German,Germanic
94,Zugänge 17/18,Cedric Itten,Leih-Ende,FC Luzern,Switzerland,German,Germanic,FC Basel 1893,Switzerland,German,Germanic
95,Zugänge 17/18,Dominik Schmid,-,FC Basel U21,Switzerland,German,Germanic,FC Basel 1893,Switzerland,German,Germanic
96,Zugänge 17/18,Afimico Pululu,-,FC Basel U21,Switzerland,German,Germanic,FC Basel 1893,Switzerland,German,Germanic
97,Zugänge 17/18,Neftali Manzambi,-,FC Basel U21,Switzerland,German,Germanic,FC Basel 1893,Switzerland,German,Germanic
98,Zugänge 17/18,Yannick Marchand,-,FC Basel U18,Switzerland,German,Germanic,FC Basel 1893,Switzerland,German,Germanic
99,Zugänge 17/18,Yves Kaiser,-,FC Basel U21,Switzerland,German,Germanic,FC Basel 1893,Switzerland,German,Germanic
100,Zugänge 17/18,Noah Okafor,-,FC Basel U21,Switzerland,German,Germanic,FC Basel 1893,Switzerland,German,Germanic
101,Zugänge 17/18,Signori Antonio,-,Vereinslos,Vereinslos,Vereinslos,Vereinslos,FC Basel 1893,Switzerland,German,Germanic
102,Zugänge 17/18,Andraz Sporar,Leih-Ende,Arm. Bielefeld,Germany,German,Germanic,FC Basel 1893,Switzerland,German,Germanic
103,Zugänge 17/18,Djordje Nikolic,Leih-Ende,FC Schaffhausen,Switzerland,German,Germanic,FC Basel 1893,Switzerland,German,Germanic
104,Abgänge 17/18,Manuel Akanji,"21,50 Mio. €",FC Basel 1893,Switzerland,German,Germanic,Bor. Dortmund,Germany,German,Germanic
105,Abgänge 17/18,Renato Steffen,"1,75 Mio. €",FC Basel 1893,Switzerland,German,Germanic,VfL Wolfsburg,Germany,German,Germanic
106,Abgänge 17/18,Jean-Paul Boëtius,"1,50 Mio. €",FC Basel 1893,Switzerland,German,Germanic,Feyenoord,Netherlands,Dutch,Germanic
107,Abgänge 17/18,Andraz Sporar,600 Tsd. €,FC Basel 1893,Switzerland,German,Germanic,Slo. Bratislava,Slovakia,Slovak,Slavic
108,Abgänge 17/18,Marc Janko,ablösefrei,FC Basel 1893,Switzerland,German,Germanic,Sparta Prag,Czech Republic,Czech,Slavic
109,Abgänge 17/18,Nicolas Hunziker,ablösefrei,FC Basel 1893,Switzerland,German,Germanic,FC Thun,Switzerland,German,Germanic
110,Abgänge 17/18,Daniel Höegh,ablösefrei,FC Basel 1893,Switzerland,German,Germanic,SC Heerenveen,Netherlands,Dutch,Germanic
111,Abgänge 17/18,Eray Cömert,Leihe,FC Basel 1893,Switzerland,German,Germanic,FC Sion,Switzerland,French,Romance
112,Abgänge 17/18,Andraz Sporar,Leihe,FC Basel 1893,Switzerland,German,Germanic,Arm. Bielefeld,Germany,German,Germanic
