Column1;Season;Name;Transfer Sum;From;FromCountry;FromLanguage;FromLanguageFamily;To;ToCountry;ToLanguage;ToLanguageFamily
0;20/21;Arthur Cabral;4,40 Mio. €;Palmeiras;Brazil;Portuguese;Romance;FC Basel;Switzerland;German;Germanic
1;20/21;Kaly Sene;4,00 Mio. €;Juventus U19;Italy;Italian;Romance;FC Basel;Switzerland;German;Germanic
2;20/21;Edon Zhegrova;3,00 Mio. €;KRC Genk ;Belgium;French;Romance;FC Basel;Switzerland;German;Germanic
3;20/21;Andrea Padula;450 Tsd. €;FC Wil 1900;Switzerland;German;Germanic;FC Basel;Switzerland;German;Germanic
4;20/21;Heinz Lindner;ablösefrei;Wehen Wiesbaden;Germany;German;Germanic;FC Basel;Switzerland;German;Germanic
5;20/21;Pajtim Kasami;ablösefrei;FC Sion;Switzerland;French;Romance;FC Basel;Switzerland;German;Germanic
6;20/21;Jorge;Leihe;AS Monaco;France;French;Romance;FC Basel;Switzerland;German;Germanic
7;20/21;Timm Klose;Leihe;Norwich City;England;English;Germanic;FC Basel;Switzerland;German;Germanic
8;20/21;Felix Gebhardt;-;FC Basel U18;Switzerland;German;Germanic;FC Basel;Switzerland;German;Germanic
9;20/21;Lirik Vishi;-;FC Basel U21;Switzerland;German;Germanic;FC Basel;Switzerland;German;Germanic
10;20/21;Liam Chipperfield;-;FC Basel U18;Switzerland;German;Germanic;FC Basel;Switzerland;German;Germanic
11;20/21;Omar Alderete;6,50 Mio. €;FC Basel;Switzerland;German;Germanic;Hertha BSC;Germany;German;Germanic
12;20/21;Jonas Omlin;6,00 Mio. €;FC Basel;Switzerland;German;Germanic;Montpellier;France;French;Romance
13;20/21;Blas Riveros;67 Tsd. €;FC Basel;Switzerland;German;Germanic;Bröndby IF;Denmark;Danish;Germanic
14;20/21;Kevin Bua;ablösefrei;FC Basel;Switzerland;German;Germanic;CD Leganés;Spain;Spanish;Romance
15;20/21;Kaly Sene;Leihe;FC Basel;Switzerland;German;Germanic;Omonia Nikosia;Cyprus;Greek;Hellenic
16;20/21;Yves Kaiser;?;FC Basel;Switzerland;German;Germanic;Xamax;Switzerland;French;Romance
17;20/21;Kemal Ademi;?;FC Basel;Switzerland;German;Germanic;Fenerbahce;Turkey;Turkish;Turkic
18;20/21;Dimitri Oberlin;-;FC Basel;Switzerland;German;Germanic;Vereinslos;Vereinslos;Vereinslos;Vereinslos
19;20/21;Zdravko Kuzmanovic;-;FC Basel;Switzerland;German;Germanic;Vereinslos;Vereinslos;Vereinslos;Vereinslos
20;20/21;Dominik Schmid;-;FC Basel;Switzerland;German;Germanic;Vereinslos;Vereinslos;Vereinslos;Vereinslos
21;20/21;Martin Liechti;-;FC Basel;Switzerland;German;Germanic;Vereinslos;Vereinslos;Vereinslos;Vereinslos
22;19/20;Omar Alderete;1,00 Mio. €;Huracán;Columbia;Spanish;Romance;FC Basel;Switzerland;German;Germanic
23;19/20;Kemal Ademi;ablösefrei;Xamax;Switzerland;French;Romance;FC Basel;Switzerland;German;Germanic
24;19/20;Jasper van der Werff;Leihe;RB Salzburg;Austria;German;Germanic;FC Basel;Switzerland;German;Germanic
